id,current_word_id,next_word_id,occurrence
396,1749,14367,37573
397,1749,18521,1
398,1749,20356,18632
399,1749,21837,24
400,1749,22875,74
401,1749,24098,15
402,1749,30239,17938
403,1749,39855,6
404,1749,41541,49
405,1749,48263,2110
406,1749,48807,3359
407,1749,50199,4
408,1749,50873,49
409,1749,53199,1031
410,1749,53593,11476
411,1749,54938,4
412,1749,55422,17011
413,1751,26863,3
414,1751,32748,5
415,1753,10859,2933
416,1753,15389,4
417,1753,18908,10653
418,1756,14367,37568
419,1756,53602,8974
420,1765,37237,6438
421,1765,38585,35
422,1765,42060,7127
423,1765,45114,961
424,1776,4508,4965
425,1776,4627,118
426,1776,30239,17939
427,1776,50903,394
428,1802,30280,16025
429,1818,20356,18632
430,1824,20356,18632
431,1846,20356,18632
432,1926,30239,17938
433,1955,4508,4966
434,1955,4627,118
435,1955,4820,3026
436,1955,5950,1968
437,1955,9531,117
438,1955,9605,523
439,1955,14299,7492
440,1955,14391,104
441,1955,15654,525
442,1955,17548,9
443,1955,19591,157
444,1955,19917,3
445,1955,20356,18632
446,1955,29839,23923
447,1955,30280,16025
448,1955,36393,61
449,1955,44897,82
450,1955,48263,2110
451,1955,49229,1023
452,1955,50305,4216
453,1955,52185,808
454,1955,52286,963
455,1955,53137,156
456,1955,54293,730
457,1955,55422,17011
458,1957,4626,1204
459,1957,13902,6
460,1957,20356,18632
461,1957,26550,2098
462,1957,29839,23923
463,1957,44205,7
464,1957,45354,18
465,1957,47773,5033
466,1957,52296,2749
467,1957,53275,44
468,1957,54293,728
469,1957,55422,17011
470,1959,1748,650
471,1959,10859,2933
472,1959,10864,33
473,1959,13078,22
474,1959,14161,5
475,1959,15654,525
476,1959,16040,16
477,1959,18771,19
478,1959,19033,1257
479,1959,19818,79
480,1959,26488,12030
481,1959,29839,23923
482,1959,33674,85
483,1959,39038,4530
484,1959,39815,283
485,1959,46852,184
486,1959,47301,1742
487,1959,47773,5033
488,1959,50897,45
489,1959,52286,963
490,1959,52993,574
491,1959,54171,127
492,1959,54842,139
493,1959,55422,17011
494,1959,55744,14
495,1959,56729,13
496,1959,57031,25
497,1959,57436,1991
498,1962,54293,728
499,1965,20356,18632
500,1969,4626,1204
501,1969,4820,3026
502,1969,14299,7488
503,1969,14311,22
504,1969,20356,18632
505,1969,29839,23923
506,1969,30239,17940
507,1969,30317,1592
508,1969,32078,18
509,1969,36456,1661
